ID;Tittel;Dato;Klokkeslett;URL;BildeURL;Undertittel;Pris lavest;Pris høyest;Innehold;Innhold-excerpt;Dag;År;@image
44384;John Hjørnevik og Dagfinn Iversen;5. november;21:00;https://www.festiviteten.no/program/44384-john-hjornevik-og-dagfinn-iversen/;https://cdn.tixly.com/no/tix/EventImages/Feature_44384.jpg;Gjentar katastrofen : Dikt live;330;;"<p>Festiviteten presenterer dessverre. Igjen. Og igjen.</p><p>År etter år. Forfattar, komikar og diktar Jon Hjørnevik, pluss Dagfinn Iversen og gitaren hans, kjem tilbake til sin andre heimstad: Haugesund!</p><p>Dette er ein tradisjon og smertefull sirkel, som ikkje kan brytast.</p><p>Nok ein gong vert det møte med erotiske tanter, skakk joik, fulle pelsdyrkonsulentar, Sverre med fingen, eit lass med purreløk, Ålesund rundbrennarlag, farleg bruk av solarium. Og eit godt knippe nye lyriske hits.</p><p>Dikt Live blir eit poetisk mareritt.</p><p>Billettar i sal. Kjøp og kom! Thats it.</p>

<br>";Festiviteten presenterer dessverre. Igjen. Og igjen. År etter år. Forfattar, komikar og diktar Jon Hjørnevik, pluss Dagfinn Iversen og gitaren hans, kjem tilbake til sin andre heimstad: Haugesund! Dette er ein tradisjon og smertefull sirkel, som ikkje kan brytast.;Torsdag;2026;images/Feature_44384.jpg
;ingebjørg bratland;6. november;;;;;;;;;;;images/placeholder.jpg
45163;LørdagsSnop: Swing'it spiller Disney;7. november;12:00;https://www.festiviteten.no/program/45163-lordagssnop-swingit-spiller-disney/;https://cdn.tixly.com/no/tix/EventImages/Feature_45163.jpg;Undertittel;175;;"<p><b>Swing'it spiller Disney:</b></p><p>Swing’it - kjent fra Norske Talenter og 3.plass i Melodi Grand Prix - stiller med kjente og kjære Disney-sanger og jazzer dem opp slik at hele familien virkelig kan swinge med. Man kan forvente oss et forrykende show, proppfullt av god stemning, allsang, ablegøyer og improvisasjon rundt slagere fra filmer som Løvenes Konge, Aladdin, Jungelboken, Aristokattene og Toy Story. </p><br>

<br>";Swing'it spiller Disney:. Swing’it - kjent fra Norske Talenter og 3.plass i Melodi Grand Prix - stiller med kjente og kjære Disney-sanger og jazzer dem opp slik at hele familien virkelig kan swinge med.;Lørdag;2026;images/Feature_45163.jpg
46630;La Belle Époque-fest;7. november;18:00;https://www.festiviteten.no/program/46630-la-belle-epoque-fest/;https://cdn.tixly.com/no/tix/EventImages/Feature_46630.jpg;Undertittel;745;;"<p><b>La Belle Époque – Festiviteten 40 år</b></p><p>Bli med oss på venner venners fest å feiring av festiviteten</p><p>Festiviteten Konserthus fyller 40 år, og det feirer vi med en stemningsfull <b>La Belle Époque-fest</b>. Inspirert av en tid preget av eleganse, kunst og livsglede inviterer vi til en kveld med fest, musikk og gode møter mellom mennesker.</p><p>Siden åpningen i <b>1986</b> har Festiviteten utviklet seg fra rundt <b>40 arrangementer det første året</b> til over <b>200 arrangementer årlig</b>. I fire tiår har huset vært en viktig møteplass.</p><p><br></p><p>Med oss denne kvelden har vi : </p><p><b>SWING’IT</b></p><p>Swing’it er en fortelling om en gjeng med unge herremenn som digger 1920-tallets glade dager. Bandet har siden sin opprinnelse utviklet seg til å bli en av de mest suksessfulle tradjazz-bandene i Norge og Europa. Bandet tar publikum med på en reise 100 år tilbake i tid og over Atlanterhavet til 1920-tallets New Orleans. De forteller historier om jazzens opprinnelse og det glade 20-tallet; glitter, glamour og Great Gatsbys fester; speakeasies og hemmelige fester under Forbudstiden; optimismen og dekadensen fra en forsvunnet tid. </p><p><br></p><p>Det vil være inkludert velkomst og fingermat i billetten.</p><p><br></p><p>Her skal du komme i finstasen , møte venner og kose deg skikkelig i Gatsby-stemning.</p>

<br>

<br>";La Belle Époque – Festiviteten 40 år. Bli med oss på venner venners fest å feiring av festiviteten. Festiviteten Konserthus fyller 40 år, og det feirer vi med en stemningsfull La Belle Époque-fest. Inspirert av en tid preget av eleganse, kunst og livsglede inviterer vi til en kveld med fest, musikk og gode møter mellom mennesker.;Lørdag;2026;images/Feature_46630.jpg
;Skeisvang-take over;11. nov. - 12. nov;;;;;;;;;;;images/placeholder.jpg
44364;Bård Tufte Johansen;13. nov. – 14. nov.;;https://www.festiviteten.no/program/44364-bard-tufte-johansen/;https://cdn.tixly.com/no/tix/EventImages/Feature_44364.jpg;Prøver å være positiv;575;;"<p>Endelig er Bård Tufte Johansen tilbake med et nytt standup-show!</p><p>Bård Tufte Johansen har siden tidlig nittitall laget en lang rekke humorprogrammer, bl.a. «Lille Lørdag», «Åpen Post», «Uti vår hage», «Team Antonsen», «Tazte Priv», «Tre brødre som ikke er brødre» og «Brille» for å nevne noe.<br>Er som de fleste nå vet fast programleder i «Nytt på Nytt» på NRK og var sist å se på scenen i «12 Gode Råd» sammen med Atle Antonsen.</p><p>Etter supersuksessen med sin debut-soloforestilling, «Bård Tufte Johansen – Mann (44)», som høstet seksere og femmere på anmelderterningene, så er han nå altså klar med den etterlengtede oppfølgeren.</p><p>Alt var kanskje ikke bedre før, men det var iallfall annerledes. For ting forandrer seg, både i kroppen, i forholdet og i samfunnet.</p><p>Men det er ingen vits i å stritte imot endring, man kan like gjerne akseptere den. Så Bård Tufte Johansen velger å være positiv!<br>Eller, han prøver å være positiv.</p><p><b>Hjertelig velkommen til en forsøksvis positiv humorkveld!</b></p><p>Anmelderne var i alle fall positive…:</p><p><img></p><p><b>«En maktdemonstrasjon»<br>– NRK</b></p><p><img></p><p><b>«Et kinderegg – et stort et!»<br>– NETTAVISEN<br></b><br><img><br><b>«En av våre beste komikere»<br>– AFTENPOSTEN</b></p><p><img><br><b>«Førsteklasses opplegg»<br>– DAGSAVISEN</b></p><p>OBS: denne forestillingen selges med ekstra rader foran scenen</p>

<br>";Endelig er Bård Tufte Johansen tilbake med et nytt standup-show! Bård Tufte Johansen har siden tidlig nittitall laget en lang rekke humorprogrammer, bl.a. «Lille Lørdag», «Åpen Post», «Uti vår hage», «Team Antonsen», «Tazte Priv», «Tre brødre som ikke er brødre» og «Brille» for å nevne noe.;;;images/Feature_44364.jpg
;Lørdagssnop/impro;14. november;;;;;;;;;;;images/placeholder.jpg
44117;Tor Inge Vormedal;17. november;18:00;https://www.festiviteten.no/program/44117-tor-inge-vormedal/;https://cdn.tixly.com/no/tix/EventImages/Feature_44117.jpg;1990-tallet;180;;"<p>

1990-tallet – Tor Inge Vormedal</p><p>1990-tallet startet med en arbeidsledighet i regionen på over ti prosent og et rentenivå på 15 prosent. Oljeprisen var 11 dollar fatet, eiendomsprisene falt og landets store forretningsbanker gikk over ende. Mobiltelefonene ble mindre og kostet kun 1 krone. EU-saken dominerte den politiske dagsorden og lokale asylmottak var omdiskuterte. Vamp startet sin karriere og to av byens fotballag gikk sammen og dannet Fotballklubben Haugesund (FKH). I løpet av 1990-tallet fikk vi både Rennfast, Trekantsambandet og ny vei gjennom Åkrafjorden.</p><p>Om foredragsholderen:</p><p>Tor Inge Vormedal (f. 1961) er utdannet cand. mag. fra Universitetet i Bergen og har jobbet en rekke år som næringslivsjournalist både i Haugesunds Avis, Kapital og TV Haugaland. Han kom ut med sin første bok i 2001 og har så langt skrevet 46 bøker. Serien om Haugalandets historie består av ni bøker som gjennom tekst og bilder forteller regionens historie tiår for tiår.</p>

<br>";1990-tallet – Tor Inge Vormedal. 1990-tallet startet med en arbeidsledighet i regionen på over ti prosent og et rentenivå på 15 prosent. Oljeprisen var 11 dollar fatet, eiendomsprisene falt og landets store forretningsbanker gikk over ende. Mobiltelefonene ble mindre og kostet kun 1 krone. EU-saken dominerte den politiske dagsorden og lokale asylmottak var omdiskuterte.;Tirsdag;2026;images/Feature_44117.jpg
44593;Haugesund barne- og ungdomsteater;20. nov. – 29. nov.;;https://www.festiviteten.no/program/44593-haugesund-barne-og-ungdomsteater/;https://cdn.tixly.com/no/tix/EventImages/Feature_44593.jpg;Kristiania Magiske Tivolitheater;325;;"<p>Kristiania Magiske Tivolitheater- en forestilling for hele familien.</p><p>Bli med på en magisk reise tilbake til Kristiania, der tivoliets fargerike verden vekkes til live med musikk, dans og spennende mennesker.</p><p>Haugesund barne- og ungdomsteater inviterer deg til en uforglemmelig opplevelse fylt med musikk, dans, humor og mystikk- alt pakket inn i ekte juleglede.</p><p>Ta med familien og venner og opplev magien og julen med oss.</p><p><b>Spilletid:</b> 2 timer inkludert 20 minutters pause.</p><p><b>Anbefalt fra 4 år</b></p>

<br>";Kristiania Magiske Tivolitheater- en forestilling for hele familien. Bli med på en magisk reise tilbake til Kristiania, der tivoliets fargerike verden vekkes til live med musikk, dans og spennende mennesker. Haugesund barne- og ungdomsteater inviterer deg til en uforglemmelig opplevelse fylt med musikk, dans, humor og mystikk- alt pakket inn i ekte juleglede.;;;images/Feature_44593.jpg
44710;Didrik Solli-Tangen;30. november;19:00;https://www.festiviteten.no/program/44710-didrik-solli-tangen/;https://cdn.tixly.com/no/tix/EventImages/Feature_44710.jpg;O helga natt;695;;"<p>En av Norges aller største stemmer inviterer til en storslått julekonsert med<br>100% gåsehudgaranti. Didrik Solli-Tangen gir deg de absolutt vakreste<br>juleklassikerne fremført med sjel, kraft og presisjon. «O Helga Natt» er en<br>majestetisk og stemningsfull julekonsert som treffer publikum midt i hjertet.</p><p>Velkommen!<br>«Didrik leverer patos, dynamikk og et voldsomt vokalspekter»-Dagbladet<br>«Solli-Tangen framfører med hjertet milevis utenpå brystet»-VG</p>

<br>";En av Norges aller største stemmer inviterer til en storslått julekonsert med. 100% gåsehudgaranti. Didrik Solli-Tangen gir deg de absolutt vakreste. juleklassikerne fremført med sjel, kraft og presisjon. «O Helga Natt» er en. majestetisk og stemningsfull julekonsert som treffer publikum midt i hjertet. Velkommen! «Didrik leverer patos, dynamikk og et voldsomt vokalspekter»-Dagbladet. «Solli-Tangen framfører med hjertet milevis utenpå brystet»-VG.;Mandag;2026;images/Feature_44710.jpg
